"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs17664036-<b>C</b>,"2 x 10-6",,0.059,2.02,'-,'-,KIZ,"Peanut allergy","peanut allergy measurement",GCST004980,20:21239574
rs4896888-<b>?</b>,"3 x 10-7",,NR,'-,'-,'-,ADGB,"Peanut allergy (parent-of-origin effect)","peanut allergy measurement, parental genotype effect measurement",GCST005727,6:146777855
rs758147-<b>?</b>,"1 x 10-6",,NR,'-,'-,'-,AC005330.1,"Peanut allergy (parent-of-origin effect)","peanut allergy measurement, parental genotype effect measurement",GCST005727,19:1322313
rs3786829-<b>?</b>,"2 x 10-6",,NR,'-,'-,'-,RYR1,"Peanut allergy (parent-of-origin effect)","peanut allergy measurement, parental genotype effect measurement",GCST005727,19:38523544
rs7290369-<b>?</b>,"5 x 10-6",,NR,'-,'-,'-,MIATNB,"Peanut allergy (parent-of-origin effect)","peanut allergy measurement, parental genotype effect measurement",GCST005727,22:26747356
rs16973813-<b>?</b>,"8 x 10-6",,NR,'-,'-,'-,ATP2C2,"Peanut allergy (parent-of-origin effect)","peanut allergy measurement, parental genotype effect measurement",GCST005727,16:84445975
rs998706-<b>?</b>,"4 x 10-6",,NR,'-,'-,'-,FAM118A,"Peanut allergy (maternal genetic effects)","peanut allergy measurement, parental genotype effect measurement",GCST005723,22:45339725
rs1830169-<b>?</b>,"4 x 10-6",,NR,'-,'-,'-,"LINC00992, AC114322.1","Peanut allergy (maternal genetic effects)","peanut allergy measurement, parental genotype effect measurement",GCST005723,5:117713030
rs10161215-<b>?</b>,"9 x 10-6",,NR,'-,'-,'-,MRPL42,"Peanut allergy (maternal genetic effects)","peanut allergy measurement, parental genotype effect measurement",GCST005723,12:93494763
rs17073303-<b>?</b>,"9 x 10-6",,NR,'-,'-,'-,PLAGL1,"Peanut allergy (maternal genetic effects)","peanut allergy measurement, parental genotype effect measurement",GCST005723,6:144034900
HLA-<b>DQA1*0102</b>,"4 x 10-9",(EA),0.19,1.9,'-,[1.0-3.4],'-,"Peanut allergy","peanut allergy measurement",GCST002791,"Mapping not available"
HLA-<b>DQB1*06</b>,"6 x 10-10",(EA),0.25,1.9,'-,[1.1-3.3],'-,"Peanut allergy","peanut allergy measurement",GCST002791,"Mapping not available"
rs115218289-<b>?</b>,"9 x 10-8",,'-,'-,'-,'-,"AC104088.1, AC078883.3","Peanut allergy","peanut allergy measurement",GCST006039,2:172401022
rs523865-<b>?</b>,"2 x 10-7",,'-,'-,'-,'-,ANGPT4,"Peanut allergy","peanut allergy measurement",GCST006039,20:914238
rs144897250-<b>?</b>,"3 x 10-7",,'-,'-,'-,'-,"BOLA3P1, MMP12","Peanut allergy","peanut allergy measurement",GCST006039,11:102879534
rs7936434-<b>?</b>,"3 x 10-7",,'-,'-,'-,'-,"EMSY, AP001189.2","Peanut allergy","peanut allergy measurement",GCST006039,11:76582761
rs78048444-<b>?</b>,"4 x 10-7",,'-,'-,'-,'-,"AC083873.1, RNU6-92P","Peanut allergy","peanut allergy measurement",GCST006039,7:133147459
rs744597-<b>?</b>,"2 x 10-6",,'-,'-,'-,'-,"AC097488.1, ARHGAP24","Peanut allergy","peanut allergy measurement",GCST006039,4:85415875
rs72827854-<b>?</b>,"3 x 10-6",,'-,'-,'-,'-,SKAP1,"Peanut allergy","peanut allergy measurement",GCST006039,17:48383163
rs862942-<b>?</b>,"3 x 10-6",,'-,'-,'-,'-,LINC02306,"Peanut allergy","peanut allergy measurement",GCST006039,14:26023027
rs9275596-<b>C</b>,"6 x 10-11",(EA),0.35,1.7,'-,[1.40-2.10],"MTCO3P1, AL662789.1","Peanut allergy","peanut allergy measurement",GCST002791,6:32713854
