"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs2155219-<b>T</b>,"1 x 10-8",,0.47,1.22,'-,[1.14-1.31],"EMSY, AP001189.2","IgE grass sensitization","seasonal allergic rhinitis",GCST001303,11:76588150
rs17513503-<b>G</b>,"1 x 10-8",,0.09,1.39,'-,[1.24-1.56],"SLC25A46, AC008782.1","IgE grass sensitization","seasonal allergic rhinitis",GCST001303,5:110810746
rs2069772-<b>C</b>,"1 x 10-6",,0.30,1.19,'-,[1.11-1.28],IL2,"IgE grass sensitization","seasonal allergic rhinitis",GCST001303,4:122451978
rs631208-<b>A</b>,"2 x 10-6",,0.60,1.18,'-,[1.10-1.26],"LINC02177, RPL21P119","IgE grass sensitization","seasonal allergic rhinitis",GCST001303,16:9305867
rs6673480-<b>T</b>,"2 x 10-6",,0.07,1.35,'-,[1.19-1.52],EPS15,"IgE grass sensitization","seasonal allergic rhinitis",GCST001303,1:51393570
rs6554809-<b>C</b>,"3 x 10-6",,0.84,1.29,'-,[1.16-1.43],DNAH5,"IgE grass sensitization","seasonal allergic rhinitis",GCST001303,5:13740867
rs7617456-<b>G</b>,"3 x 10-6",,0.59,1.18,'-,[1.10-1.26],"NPHP3-AS1, AC079942.1","IgE grass sensitization","seasonal allergic rhinitis",GCST001303,3:133009059
rs1325195-<b>A</b>,"5 x 10-6",,0.59,1.17,'-,[1.10-1.26],ABL2,"IgE grass sensitization","seasonal allergic rhinitis",GCST001303,1:179102621
rs1044573-<b>A</b>,"1 x 10-6",,0.51,1.15,'-,[1.09-1.21],ENTPD6,"Allergic rhinitis","seasonal allergic rhinitis",GCST001310,20:25226018
rs6898653-<b>G</b>,"1 x 10-6",,0.22,1.23,'-,[1.13-1.34],"SEMA6A-AS2, RPS17P2","Allergic rhinitis","seasonal allergic rhinitis",GCST001310,5:116639960
rs887864-<b>A</b>,"1 x 10-6",,0.63,1.16,'-,[1.09-1.23],CLEC16A,"Allergic rhinitis","seasonal allergic rhinitis",GCST001310,16:11065028
